class_number,cluster_rep_sequence_accession,family_label_ncbi_2021,families_in_class_2021,family_label_ncbi_2023,sequences_per_class,sequences_percent,max_length,mean_length,std_length,kmers_per_class,kmers_percent,protein_description,protein_function_class,host,molecule_type,genus
33,AAA43314.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,4401,0.42821822880533833,326.0,243.82,25.13,3743,0.02,matrix protein 1,Structural-Envelope,Homo sapiens,ssRNA(-),Alphainfluenzavirus
34,BBJ34935.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,4091,0.39805516338164937,328.0,208.48,84.99,1787,0.009,attachment glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthopneumovirus
35,QVI17106.1,Caliciviridae,Caliciviridae,Caliciviridae,5197,0.5056691967964879,1801.0,899.11,720.98,168376,0.879,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+),Norovirus
36,ALK28765.1,Coronaviridae,Coronaviridae,Coronaviridae,3663,0.3564106730547498,1582.0,1066.59,453.08,145780,0.761,spike protein,Structural-Envelope,Sus scrofa,ssRNA(+),Alphacoronavirus
37,YP_008378665.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,3554,0.34580495005093664,2279.0,1535.69,949.33,228329,1.192,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(-),Orthoavulavirus
38,ACN88111.1,Adenoviridae,Adenoviridae,Adenoviridae,3608,0.3510591614473212,992.0,412.26,305.21,32328,0.169,hexon,Other-Functions,Homo sapiens,dsDNA,Mastadenovirus
39,AGW31675.1,Arteriviridae,Arteriviridae,Arteriviridae,3424,0.33315592261519617,3996.0,1392.65,984.31,191039,0.997,nonstructural protein 2,Non-structural,Sus scrofa,ssRNA(+),Betaarterivirus
40,AAA43764.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,3207,0.3120417768186139,340.0,252.72,60.79,2633,0.014,nonstructural protein 1,Non-structural,Homo sapiens,ssRNA(-),Betainfluenzavirus
41,CAA32488.1,Retroviridae,Retroviridae,Retroviridae,3200,0.3113606753413048,309.0,254.59,22.61,2800,0.015,nef protein,Regulation-Control,Simiiformes,ssRNA-RT,Lentivirus
42,QBJ02252.1,Reoviridae,Reoviridae,Sedoreoviridae,3195,0.310874174286084,1103.0,979.87,276.35,111994,0.585,VP1,Other-Functions,Homo sapiens,dsRNA,Rotavirus
43,QCF24330.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,3129,0.3044523603571696,545.0,488.87,92.4,32961,0.172,glycoprotein,Glycoprotein,Canis lupus familiaris,ssRNA(-),Lyssavirus
44,AVM87430.1,Togaviridae,Togaviridae-Flaviviridae,Togaviridae,3099,0.3015333540258449,1363.0,805.53,461.49,83272,0.435,structural polyprotein,Structural-Envelope,Homo sapiens,ssRNA(+),Alphavirus
45,P35956.2,Retroviridae,Retroviridae,Retroviridae,3027,0.2945277388306655,1506.0,336.12,298.37,17916,0.094,gag protein,Structural-Envelope,Ovis aries,ssRNA-RT,Lentivirus
46,AAD10459.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,3027,0.2945277388306655,481.0,354.42,131.15,15662,0.082,nucleoprotein,Structural-Envelope,Canis lupus familiaris,ssRNA(-),Lyssavirus
47,YP_009091837.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,2898,0.28197601160596913,662.0,411.16,197.84,25011,0.131,fusion protein,Structural-Envelope,Gallus gallus,ssRNA(-),Orthoavulavirus
48,QAA77599.1,Reoviridae,Reoviridae,Sedoreoviridae,2843,0.2766244999985405,851.0,751.85,192.5,66333,0.346,VP3,Other-Functions,Homo sapiens,dsRNA,Rotavirus
49,YP_009094332.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,2823,0.27467849577765735,542.0,226.47,151.58,6898,0.036,nucleoprotein,Structural-Envelope,Homo sapiens,ssRNA(-),Morbillivirus
50,ADW11143.1,Reoviridae,Reoviridae,Sedoreoviridae,2771,0.2696188848033611,517.0,471.74,58.7,25916,0.135,NSP1,Non-structural,Homo sapiens,dsRNA,Rotavirus
51,ADM15528.1,Reoviridae,Reoviridae,Sedoreoviridae,2656,0.25842936053328297,441.0,339.47,99.68,9971,0.052,VP6,Other-Functions,Homo sapiens,dsRNA,Rotavirus
52,YP_003896047.1,Reoviridae,Reoviridae,Sedoreoviridae,2626,0.2555103542019583,913.0,802.12,213.3,68220,0.356,VP2,Other-Functions,Homo sapiens,dsRNA,Rotavirus
53,AAF82566.1,Flaviviridae,Flaviviridae,Flaviviridae,2623,0.2552184535688258,4040.0,402.95,864.17,28566,0.149,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Hepacivirus
54,QIH29414.1,Pneumoviridae,Pneumoviridae-Coronaviridae,Pneumoviridae,2689,0.2616402674977402,589.0,428.82,185.31,23833,0.124,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-),Orthopneumovirus
55,AAZ39526.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,2496,0.24286132676621777,647.0,346.02,189.31,15278,0.08,L1,Other-Functions,Homo sapiens,dsDNA,Alphapapillomavirus
56,QCF29645.1,Hepeviridae,Hepeviridae,Hepeviridae,2478,0.24110992296742292,677.0,291.7,230.42,13053,0.068,capsid protein,Structural-Envelope,Homo sapiens,ssRNA(+),Paslahepevirus
57,QFX66041.1,Flaviviridae,Flaviviridae-Baculoviridae-Mimiviridae-Phycodnaviridae-Marseilleviridae,Flaviviridae,2785,0.27098108775797936,5068.0,490.35,922.59,40437,0.211,polyprotein,Polyprotein,Bos taurus,ssRNA(+),Pestivirus
58,AXU24940.1,Potyviridae,Potyviridae-Bromoviridae,Potyviridae,2319,0.22563918941140185,3535.0,920.9,1179.68,77011,0.402,polyprotein,Polyprotein,Glycine max,ssRNA(+),Potyvirus
59,AFU32554.1,Retroviridae,Retroviridae,Retroviridae,2233,0.21727137126160428,939.0,520.55,46.23,26085,0.136,pol protein,Polyprotein,Homo sapiens,ssRNA-RT,Lentivirus
60,NP_077121.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,2223,0.21629836915116268,524.0,467.84,27.74,19387,0.101,L2,Other-Functions,Homo sapiens,dsDNA,Alphapapillomavirus
61,QXQ21752.1,Parvoviridae,Parvoviridae,Parvoviridae,2214,0.21542266725176526,785.0,464.17,199.22,22996,0.12,capsid protein,Structural-Envelope,Canis lupus familiaris,ssDNA(+/-),Protoparvovirus
62,QJI53616.1,Circoviridae,Circoviridae,Circoviridae,2129,0.20715214931301185,369.0,281.8,53.91,1724,0.009,replication-associated protein,Replication-Transcription,Sus scrofa,ssDNA(+/-),Circovirus
63,QCY50220.1,Picornaviridae,Picornaviridae,Picornaviridae,2030,0.19751942841964026,2208.0,558.56,728.89,33307,0.174,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Parechovirus
64,AFM55839.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,2023,0.19683832694233117,637.0,541.94,149.93,26934,0.141,hemagglutinin,Hemagglutinin,Canis lupus familiaris,ssRNA(-),Morbillivirus
65,QAA77604.1,Reoviridae,Reoviridae,Sedoreoviridae,1996,0.1942112212441389,336.0,307.29,34.38,1922,0.01,NSP2,Other-Functions,Homo sapiens,dsRNA,Rotavirus
66,ASV45868.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,1992,0.19382202039996227,2803.0,1923.98,582.05,163641,0.854,polymerase,Replication-Transcription,Canis lupus familiaris,ssRNA(-),Lyssavirus
67,QAA79499.1,Flaviviridae,Flaviviridae,Flaviviridae,1987,0.19333551934474147,3433.0,3183.98,646.75,286961,1.498,polyprotein,Polyprotein,Corvus brachyrhynchos,ssRNA(+),Orthoflavivirus
68,CAX33877.1,Birnaviridae,Birnaviridae,Birnaviridae,1843,0.17932428895438274,1060.0,313.93,247.22,8481,0.044,VP2,Polyprotein,Gallus gallus,dsRNA,Avibirnavirus
69,CAB65340.1,Retroviridae,Retroviridae-Poxviridae,Retroviridae,1809,0.1760160817788814,2378.0,375.68,294.63,14062,0.073,envelope protein,Structural-Envelope,Phascolarctos cinereus,ssRNA-RT,Gammaretrovirus
70,AWK57622.1,Caliciviridae,Caliciviridae,Caliciviridae,1751,0.17037266953832023,2305.0,588.03,794.77,34397,0.18,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Sapovirus
71,BBC83614.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,1834,0.17844858705498534,671.0,561.49,176.37,23161,0.121,E1,Other-Functions,Homo sapiens,dsDNA,Alphapapillomavirus
72,AMQ09749.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,1742,0.1694969676389228,626.0,560.32,86.28,23920,0.125,hemagglutinin-neuraminidase,Hemagglutinin,Gallus gallus,ssRNA(-),Orthoavulavirus
73,YP_009215303.1,Parvoviridae,Parvoviridae,Parvoviridae,1770,0.17222137354815922,724.0,390.79,221.76,13964,0.073,VP1,Structural-Envelope,Homo sapiens,ssDNA(+/-),Bocaparvovirus
74,AAB19548.2,Retroviridae,Retroviridae,Retroviridae,1689,0.16434005645358246,999.0,332.76,211.81,8938,0.047,envelope glycoprotein,Structural-Envelope,Ovis aries,ssRNA-RT,Lentivirus
75,QVW10123.1,Astroviridae,Astroviridae,Astroviridae,1611,0.15675063999213815,1415.0,283.03,356.5,9837,0.051,RNA-dependent RNA polymerase,Replication-Transcription,Sus scrofa,ssRNA(+),Mamastrovirus
76,QFX69115.1,Pneumoviridae,Pneumoviridae-Paramyxoviridae,Pneumoviridae,1592,0.15490193598229915,2411.0,2105.03,262.22,144926,0.757,RNA-directed RNA polymerase L,Replication-Transcription,Homo sapiens,ssRNA(-),Orthopneumovirus
77,CAG29088.1,Geminiviridae,Geminiviridae-Potyviridae,Geminiviridae,1585,0.15422083450499002,368.0,290.94,20.15,1611,0.008,movement protein,Transport,Manihot esculenta,ssDNA(+/-),Begomovirus
78,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,1560,0.15178832922888608,594.0,334.79,186.0,8901,0.046,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus
79,YP_009094180.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,1542,0.15003692543009126,305.0,278.6,46.03,1303,0.007,phosphoprotein,Other-Functions,Canis lupus familiaris,ssRNA(-),Lyssavirus
80,YP_009505611.1,Picornaviridae,Picornaviridae-Hepeviridae,Picornaviridae,1503,0.1462422171993691,2302.0,469.81,655.1,19104,0.1,polyprotein-capsid,Polyprotein,Homo sapiens,ssRNA(+),Hepatovirus
81,ACX32354.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,1532,0.14906392331964968,424.0,360.09,37.86,5574,0.029,early E2,Regulation-Control,Homo sapiens,dsDNA,Alphapapillomavirus
82,NP_941983.1,Hantaviridae,Hantaviridae,Hantaviridae,1373,0.13359318976362858,1148.0,670.87,454.66,29426,0.154,glycoprotein precursor,Glycoprotein,Rattus norvegicus,ssRNA(-),Orthohantavirus
83,ATP66731.1,Coronaviridae,Coronaviridae,Coronaviridae,1446,0.14069610516985212,7467.0,2842.48,3122.38,188544,0.984,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(+),Betacoronavirus
84,QFE31727.1,Retroviridae,Retroviridae,Retroviridae,1354,0.1317444857537896,884.0,328.51,208.33,7049,0.037,envelope protein,Structural-Envelope,Equus caballus,ssRNA-RT,Lentivirus
85,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,1349,0.1312579846985688,677.0,535.31,170.38,17871,0.093,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus
86,ABZ03979.1,Geminiviridae,Geminiviridae,Geminiviridae,1312,0.127657876889935,394.0,313.25,48.32,2656,0.014,replication-associated protein,Replication-Transcription,Cicer arietinum,ssDNA(+/-),Mastrevirus
87,0905196A,Adenoviridae,Adenoviridae,Adenoviridae,1288,0.12532267182487516,1977.0,786.96,393.05,33473,0.175,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA,Mastadenovirus
88,YP_009505804.1,Arenaviridae,Arenaviridae,Arenaviridae,1282,0.12473887055861024,593.0,430.11,177.08,11219,0.059,nucleoprotein,Structural-Envelope,Homo sapiens,ssRNA(+/-),Mammarenavirus
89,QKI28857.1,Alphasatellitidae,Alphasatellitidae-Nanoviridae-Geminiviridae,Alphasatellitidae,1282,0.12473887055861024,342.0,295.7,34.01,1216,0.006,replication associated protein,Replication-Transcription,Gossypium hirsutum,ssDNA,Colecusatellite
90,AKZ66193.1,Arteriviridae,Arteriviridae,Arteriviridae,1273,0.12386316865921282,290.0,255.47,8.88,1256,0.007,GP3,Structural-Envelope,Sus scrofa,ssRNA(+),Betaarterivirus
91,NP_062875.1,Caliciviridae,Caliciviridae,Caliciviridae,1249,0.12152796359415305,2344.0,1080.72,941.41,51917,0.271,polyprotein,Polyprotein,Oryctolagus cuniculus,ssRNA(+),Lagovirus
92,QGM78573.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,1247,0.12133336317206472,498.0,475.04,66.4,10975,0.057,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-),Alphainfluenzavirus
93,QCZ35343.1,Caliciviridae,Caliciviridae,Caliciviridae,1222,0.11890085789596078,2643.0,369.9,434.01,10949,0.057,major capsid protein,Structural-Envelope,Felis catus,ssRNA(+),Vesivirus
94,YP_008439200.1,Coronaviridae,Coronaviridae,Coronaviridae,1217,0.11841435684073999,6825.0,4612.19,2983.05,265459,1.386,polyprotein,Replication-Transcription,Sus scrofa,ssRNA(+),Alphacoronavirus
95,AAD30534.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,1207,0.11744135473029842,302.0,220.15,63.69,511,0.003,K1 glycoprotein,Other-Functions,Homo sapiens,dsDNA,Rhadinovirus
96,AXE73510.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,1206,0.11734405451925425,553.0,315.41,197.64,6271,0.033,fusion protein,Structural-Envelope,Gallus gallus,ssRNA(-),Orthoavulavirus
97,YP_009448192.1,Picornaviridae,Picornaviridae,Picornaviridae,1203,0.11705215388612177,2668.0,508.95,715.75,16778,0.088,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Kobuvirus
98,AAD31543.1,Flaviviridae,Flaviviridae,Flaviviridae,1201,0.11685755346403347,2942.0,638.13,923.68,24691,0.129,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Pegivirus
99,ACA52156.1,Coronaviridae,Coronaviridae,Coronaviridae,1195,0.1162737521977685,6988.0,1168.96,2112.44,59077,0.308,RNA-dependent RNA polymerase,Replication-Transcription,Felis catus,ssRNA(+),Alphacoronavirus
100,YP_010086240.1,Phenuiviridae,Phenuiviridae-Peribunyaviridae,Phenuiviridae,1192,0.11598185156463604,2210.0,1583.19,821.89,78852,0.412,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(+/-),Bandavirus
101,CAA24906.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,1186,0.11539805029837108,467.0,229.66,124.08,2129,0.011,N protein,Other-Functions,Homo sapiens,ssRNA(-),Orthopneumovirus
102,QTJ01860.1,Solemoviridae,Solemoviridae-Luteoviridae-Tombusviridae,Solemoviridae,1162,0.11306284523331131,1101.0,551.43,330.13,17005,0.089,RNA-dependent RNA polymerase,Replication-Transcription,Saccharum sp.,ssRNA(+),Polerovirus
103,AHC95553.1,Arenaviridae,Arenaviridae,Arenaviridae,1154,0.11228444354495805,526.0,414.47,114.3,7983,0.042,glycoprotein precursor,Glycoprotein,Homo sapiens,ssRNA(+/-),Mammarenavirus
104,AVM87655.1,Hantaviridae,Hantaviridae,Hantaviridae,1149,0.11179794248973726,474.0,304.33,124.91,3820,0.02,nucleocapsid protein,Structural-Envelope,Myodes glareolus,ssRNA(-),Orthohantavirus
105,ABX25838.1,Retroviridae,Retroviridae,Retroviridae,1132,0.11014383890198658,896.0,392.4,279.49,8834,0.046,envelope glycoprotein,Structural-Envelope,Felis catus,ssRNA-RT,Lentivirus
106,ADI60318.1,Arteriviridae,Arteriviridae,Arteriviridae,1128,0.10975463805780994,257.0,254.12,5.3,1118,0.006,GP2,Other-Functions,Sus scrofa,ssRNA(+),Betaarterivirus
107,QBX91018.1,Caliciviridae,Caliciviridae,Caliciviridae,1070,0.1041112258172488,269.0,263.81,15.93,1033,0.005,VP2,Structural-Envelope,Homo sapiens,ssRNA(+),Norovirus
108,AJO72803.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,1037,0.1009003188527916,687.0,478.48,195.23,11739,0.061,fusion protein,Structural-Envelope,Homo sapiens,ssRNA(-),Morbillivirus
109,AYI50358.1,Togaviridae,Togaviridae,Togaviridae,1026,0.09983001653130585,2511.0,1808.89,931.6,78482,0.41,non-structural polyprotein precursor P1234,Non-structural,Homo sapiens,ssRNA(+),Alphavirus
110,YP_009361853.1,Hantaviridae,Hantaviridae,Hantaviridae,1010,0.09827321315459933,2158.0,949.35,956.51,37384,0.195,RNA-dependent RNA polymerase,Replication-Transcription,Rattus norvegicus,ssRNA(-),Orthohantavirus
111,AAK74119.1,Reoviridae,Reoviridae,Sedoreoviridae,1009,0.09817591294355517,599.0,304.82,30.89,1016,0.005,NSP3,Non-structural,Homo sapiens,dsRNA,Rotavirus
112,QEO75949.1,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,972,0.09457580513492134,1469.0,1179.05,468.03,44071,0.23,polyprotein,Polyprotein,Homo sapiens,ssRNA(-),Orthobunyavirus
113,YP_009094360.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,1087,0.10576532940499948,439.0,389.27,33.42,5207,0.027,phosphoprotein,Other-Functions,Gallus gallus,ssRNA(-),Orthoavulavirus
114,QPB10708.1,Coronaviridae,Coronaviridae,Coronaviridae,958,0.09321360218030313,6707.0,3305.46,2939.11,146500,0.765,ORF1ab,Other-Functions,Gallus gallus,ssRNA(+),Gammacoronavirus
115,QSD99081.1,Hepeviridae,Hepeviridae,Hepeviridae,948,0.09224060006986155,1783.0,512.82,635.31,15140,0.079,polyprotein,Other-Functions,Homo sapiens,ssRNA(+),Paslahepevirus
116,YP_009345142.1,Tospoviridae,Tospoviridae-Peribunyaviridae,Tospoviridae,927,0.09019729563793424,281.0,254.63,34.05,781,0.004,nucleocapsid protein,Structural-Envelope,Solanum lycopersicum,ssRNA(+/-),Orthotospovirus
117,QKO28323.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,918,0.08932159373853682,557.0,436.01,139.21,7942,0.041,glycoprotein,Glycoprotein,Oncorhynchus mykiss,ssRNA(-),Novirhabdovirus
118,YP_052942.1,Reoviridae,Reoviridae,Sedoreoviridae,916,0.0891269933164485,1345.0,1201.37,303.65,42313,0.221,RNA-dependent RNA polymerase,Replication-Transcription,Ovis aries,dsRNA,Orbivirus
119,ATP66856.1,Flaviviridae,Flaviviridae,Flaviviridae,906,0.08815399120600692,4023.0,1290.44,1544.75,45999,0.24,polyprotein,Polyprotein,Sus scrofa,ssRNA(+),Pestivirus
120,AND80849.1,Togaviridae,Togaviridae,Togaviridae,901,0.08766749015078613,2543.0,2218.99,678.41,86331,0.451,nonstructural polyprotein,Non-structural,Homo sapiens,ssRNA(+),Alphavirus
121,NP_044929.1,Retroviridae,Retroviridae,Retroviridae,890,0.0865971878293004,1220.0,342.67,403.69,7566,0.04,integrase,Polyprotein,Homo sapiens,ssRNA-RT,Spumavirus
122,QDY92366.1,Coronaviridae,Coronaviridae,Coronaviridae,890,0.0865971878293004,418.0,360.44,97.67,4234,0.022,nucleocapsid protein,Structural-Envelope,Gallus gallus,ssRNA(+),Gammacoronavirus
